Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
1/2/2025,1/2/2025,1/2/2025,,Gold Deposit Boost Payment,GDBP,,,$1.69 
1/3/2025,1/3/2025,1/3/2025,MSTX,Cash Div: R/D 2024-12-31 P/D 2025-01-03 - 1000 shares at 14.427608,CDIV,,,$721.38 
1/6/2025,1/6/2025,1/7/2025,MSTX,Tidal Trust II Defiance Daily Target 2x Long MSTR ETF Dividend,Buy,265.760083,2.71,($721.38)
1/6/2025,1/6/2025,1/6/2025,,Interest Adjustment Credit,INT,,,$0.00 
1/10/2025,1/10/2025,1/13/2025,MSTX,MSTX 1/17/2025 Put $35.00,STO,20,0.04,$84.95 
1/16/2025,1/16/2025,1/16/2025,,Gold Subscription Fee,GOLD,,,($0.25)
1/17/2025,1/17/2025,1/21/2025,MSTX,Option Expiration for MSTX 1/17/2025 Put $35.00,OEXP,20,,$0.00 
1/22/2025,1/22/2025,1/23/2025,MSTX,MSTX 1/24/2025 Call $63.00,STO,4,0.05,$19.99 
1/22/2025,1/22/2025,1/23/2025,MSTX,MSTX 1/24/2025 Call $63.00,STO,8,0.05,$39.98 
1/22/2025,1/22/2025,1/23/2025,MSTX,MSTX 1/31/2025 Put $45.00,STO,1,0.09,$8.50 
1/22/2025,1/22/2025,1/23/2025,MSTX,MSTX 1/31/2025 Put $45.00,STO,9,0.09,$76.48 
1/23/2025,1/23/2025,1/24/2025,LCID,LCID 1/31/2025 Put $2.50,STO,80,0,$23.83 
1/23/2025,1/23/2025,1/24/2025,LCID,LCID 1/31/2025 Put $2.50,STO,20,0,$5.96 
1/24/2025,1/24/2025,1/27/2025,MSTX,Option Expiration for MSTX 1/24/2025 Call $63.00,OEXP,12,,$0.00 
1/31/2025,1/31/2025,2/3/2025,LCID,Option Expiration for LCID 1/31/2025 Put $2.50,OEXP,100,,$0.00 
1/31/2025,1/31/2025,2/3/2025,MSTX,MSTX 1/31/2025 Put $45.00,OASGN,10,,$0.00 
1/31/2025,1/31/2025,2/3/2025,MSTX,"Tidal Trust II Defiance Daily Target 2x Long MSTR ETF
10 MSTX Options Assigned",Buy,1000,2.25,"($2,250.00)"
1/31/2025,1/31/2025,1/31/2025,,Interest Payment,INT,,,$24.61 
1/31/2025,1/31/2025,2/3/2025,LCID,LCID 2/7/2025 Put $2.50,STO,1,0,$0.20 
1/31/2025,1/31/2025,2/3/2025,LCID,LCID 2/7/2025 Put $2.50,STO,1,0,$0.20 
1/31/2025,1/31/2025,2/3/2025,LCID,LCID 2/7/2025 Put $2.50,STO,99,0,$19.59 
2/3/2025,2/3/2025,2/4/2025,LCID,LCID 2/7/2025 Put $2.50,STO,6,0,$1.19 
2/3/2025,2/3/2025,2/4/2025,LCID,LCID 2/7/2025 Put $2.50,STO,86,0,$17.02 
2/3/2025,2/3/2025,2/4/2025,LCID,LCID 2/7/2025 Put $2.50,STO,5,0,$0.99 
2/3/2025,2/3/2025,2/4/2025,LCID,LCID 2/7/2025 Put $2.50,STO,2,0,$0.40 
2/3/2025,2/3/2025,2/3/2025,,Gold Deposit Boost Payment,GDBP,,,$1.69 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,52,0.01,$28.49 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,59,0.01,$32.32 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,22,0.01,$12.05 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,32,0.01,$17.53 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,2,0.01,$1.10 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,3,0.01,$1.64 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,5,0.01,$2.74 
