Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
3/13/2024,Buy,MSFT,MICROSOFT CORP,3.5461,20.74,,($73.55)
3/13/2024,Buy,NNDM,NANO DIMENSION LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,29.4075,0.15,,($4.37)
3/13/2024,Buy,CEVA,CEVA INC,4.3698,1.23,,($5.36)
3/13/2024,Buy,AMBA,AMBARELLA INC F,4.2667,2.68,,($11.43)
3/13/2024,Buy,ADBE,ADOBE INC,1.7698,29.03,,($51.37)
3/13/2024,Buy,META,META PLATFORMS INC CLASS A,2.6524,24.8,,($65.77)
3/13/2024,Buy,AI,C3 AI INC CLASS A,8.4294,1.53,,($12.92)
3/13/2024,Buy,XMTR,XOMETRY INC CLASS A,5.0238,0.89,,($4.45)
3/13/2024,Buy,NICE,NICE LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,0.8812,12.04,,($10.61)
3/13/2024,Buy,COF,CAPITAL ONE FC,3.322,6.99,,($23.22)
3/13/2024,Buy,INTC,INTEL CORP,15.5602,2.18,,($33.88)
3/13/2024,Buy,WIT,WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,58.0161,0.3,,($17.45)
3/13/2024,Buy,INTU,INTUIT INC,0.9405,32.85,,($30.90)
3/13/2024,Buy,ACN,ACCENTURE PLC FCLASS A,1.9143,18.95,,($36.28)
3/13/2024,Buy,SSTK,SHUTTERSTOCK INC,2.37,2.62,,($6.20)
3/13/2024,Buy,TRI,THOMSON REUTERS CORP F,2.808,7.8,,($21.90)
3/13/2024,Buy,NVDA,NVIDIA CORP,1.8537,44.51,,($82.51)
3/13/2024,Buy,PATH,UIPATH INC CLASS A,12.7857,1.24,,($15.80)
3/13/2024,Buy,BIDU,BAIDU INC FSPONSORED ADR 1 ADR REPS 8 ORD SHS,5.2386,5.49,,($28.73)
3/13/2024,Buy,SYNA,SYNAPTICS INC,1.5601,5.17,,($8.06)
3/13/2024,Buy,CRNC,CERENCE INC,7.1817,0.77,,($5.56)
3/13/2024,Buy,AMZN,AMAZON.COM INC,8.2985,8.84,,($73.38)
3/13/2024,Buy,GOOGL,ALPHABET INC. CLASS A,10.594,7.03,,($74.48)
3/13/2024,Buy,SOUN,SOUNDHOUND AI INC CLASS A,24.4702,0.38,,($9.35)
3/13/2024,Buy,IBM,IBM CORP,4.2936,9.83,,($42.19)
3/13/2024,Buy,90421MFV0,"UMPQUA BANK, ORE 5.35%24CD FDIC INS DUE 06/20/24US","80,000",5,,"($4,000.00)"
3/20/2024,Buy,29978MCE6,"EVERBANK, NTNL AS 5.3%24CD FDIC INS DUE 06/28/24US","102,000",5,,"($5,100.00)"
